Rk,Score,PtsW,PtsL
1,2-2,2,2
2,4-0,4,0
3,4-2,4,2
4,4-3,4,3
5,4-4,4,4
6,5-2,5,2
7,5-4,5,4
8,5-5,5,5
9,6-4,6,4
10,6-5,6,5
11,7-4,7,4
12,8-2,8,2
13,8-4,8,4
14,8-7,8,7
15,8-8,8,8
16,9-4,9,4
17,9-8,9,8
18,9-9,9,9
19,11-2,11,2
20,11-4,11,4
21,11-5,11,5
22,11-9,11,9
23,11-11,11,11
24,12-2,12,2
25,12-4,12,4
26,12-5,12,5
27,12-11,12,11
28,13-4,13,4
29,13-5,13,5
30,14-4,14,4
31,14-8,14,8
32,15-2,15,2
33,15-4,15,4
34,15-5,15,5
35,15-8,15,8
36,15-11,15,11
37,15-15,15,15
38,16-2,16,2
39,16-4,16,4
40,16-5,16,5
41,17-2,17,2
42,17-4,17,4
43,18-2,18,2
44,18-4,18,4
45,18-5,18,5
46,18-8,18,8
47,18-9,18,9
48,18-11,18,11
49,18-18,18,18
50,19-2,19,2
51,19-4,19,4
52,20-4,20,4
53,20-5,20,5
54,20-11,20,11
55,21-4,21,4
56,21-5,21,5
57,22-2,22,2
58,22-4,22,4
59,22-11,22,11
60,22-18,22,18
61,22-22,22,22
62,23-4,23,4
63,23-5,23,5
64,24-4,24,4
65,25-2,25,2
66,25-4,25,4
67,25-5,25,5
68,25-8,25,8
69,25-9,25,9
70,25-11,25,11
71,25-18,25,18
72,25-25,25,25
73,26-2,26,2
74,26-4,26,4
75,26-5,26,5
76,26-25,26,25
77,27-4,27,4
78,27-5,27,5
79,27-8,27,8
80,28-4,28,4
81,28-5,28,5
82,29-2,29,2
83,29-4,29,4
84,29-5,29,5
85,29-8,29,8
86,29-11,29,11
87,29-12,29,12
88,30-2,30,2
89,30-4,30,4
90,30-5,30,5
91,31-4,31,4
92,31-5,31,5
93,31-11,31,11
94,32-2,32,2
95,32-4,32,4
96,32-5,32,5
97,32-8,32,8
98,32-11,32,11
99,32-12,32,12
100,32-15,32,15
101,32-19,32,19
102,32-22,32,22
103,32-26,32,26
104,32-32,32,32
105,33-2,33,2
106,33-4,33,4
107,33-5,33,5
108,33-11,33,11
109,34-4,34,4
110,35-4,35,4
111,35-5,35,5
112,35-29,35,29
113,36-2,36,2
114,36-4,36,4
115,36-5,36,5
116,36-8,36,8
117,36-9,36,9
118,36-11,36,11
119,36-12,36,12
120,36-23,36,23
121,36-29,36,29
122,36-36,36,36
123,37-4,37,4
124,37-11,37,11
125,38-2,38,2
126,38-4,38,4
127,38-11,38,11
128,38-18,38,18
129,39-2,39,2
130,39-4,39,4
131,39-5,39,5
132,39-6,39,6
133,39-8,39,8
134,39-9,39,9
135,39-11,39,11
136,39-12,39,12
137,39-15,39,15
138,39-16,39,16
139,39-18,39,18
140,39-19,39,19
141,39-22,39,22
142,39-25,39,25
143,39-29,39,29
144,39-37,39,37
145,39-39,39,39
146,40-2,40,2
147,40-4,40,4
148,40-5,40,5
149,40-12,40,12
150,40-19,40,19
151,40-31,40,31
152,40-36,40,36
153,40-40,40,40
154,41-2,41,2
155,41-4,41,4
156,41-5,41,5
157,41-8,41,8
158,41-11,41,11
159,41-12,41,12
160,41-15,41,15
161,41-18,41,18
162,41-40,41,40
163,41-41,41,41
164,42-2,42,2
165,42-4,42,4
166,42-5,42,5
167,42-8,42,8
168,42-9,42,9
169,42-11,42,11
170,42-12,42,12
171,42-16,42,16
172,42-25,42,25
173,42-42,42,42
174,43-2,43,2
175,43-4,43,4
176,43-5,43,5
177,43-9,43,9
178,43-15,43,15
179,43-20,43,20
180,43-25,43,25
181,43-26,43,26
182,43-29,43,29
183,43-30,43,30
184,43-31,43,31
185,43-33,43,33
186,43-34,43,34
187,43-36,43,36
188,43-41,43,41
189,43-42,43,42
190,44-2,44,2
191,44-4,44,4
192,44-5,44,5
193,44-8,44,8
194,44-12,44,12
195,44-18,44,18
196,44-19,44,19
197,44-25,44,25
198,44-29,44,29
199,44-32,44,32
200,44-35,44,35
201,44-36,44,36
202,44-39,44,39
203,44-43,44,43
204,44-44,44,44
205,45-4,45,4
206,45-5,45,5
207,45-8,45,8
208,45-9,45,9
209,45-11,45,11
210,45-15,45,15
211,45-18,45,18
212,45-30,45,30
213,45-36,45,36
214,45-40,45,40
215,45-43,45,43
216,45-45,45,45
217,46-0,46,0
218,46-2,46,2
219,46-4,46,4
220,46-5,46,5
221,46-7,46,7
222,46-8,46,8
223,46-11,46,11
224,46-12,46,12
225,46-15,46,15
226,46-17,46,17
227,46-19,46,19
228,46-20,46,20
229,46-22,46,22
230,46-23,46,23
231,46-24,46,24
232,46-25,46,25
233,46-26,46,26
234,46-29,46,29
235,46-30,46,30
236,46-32,46,32
237,46-33,46,33
238,46-35,46,35
239,46-37,46,37
240,46-39,46,39
241,46-40,46,40
242,46-41,46,41
243,46-42,46,42
244,46-43,46,43
245,46-44,46,44
246,46-46,46,46
247,47-2,47,2
248,47-4,47,4
249,47-5,47,5
250,47-8,47,8
251,47-9,47,9
252,47-11,47,11
253,47-12,47,12
254,47-15,47,15
255,47-18,47,18
256,47-19,47,19
257,47-20,47,20
258,47-22,47,22
259,47-26,47,26
260,47-29,47,29
261,47-32,47,32
262,47-33,47,33
263,47-35,47,35
264,47-37,47,37
265,47-38,47,38
266,47-39,47,39
267,47-40,47,40
268,47-42,47,42
269,47-43,47,43
270,47-44,47,44
271,47-45,47,45
272,47-46,47,46
273,47-47,47,47
274,48-2,48,2
275,48-4,48,4
276,48-5,48,5
277,48-8,48,8
278,48-9,48,9
279,48-11,48,11
280,48-12,48,12
281,48-15,48,15
282,48-18,48,18
283,48-36,48,36
284,48-37,48,37
285,48-38,48,38
286,48-39,48,39
287,48-42,48,42
288,48-43,48,43
289,48-44,48,44
290,48-45,48,45
291,48-46,48,46
292,48-48,48,48
293,49-2,49,2
294,49-4,49,4
295,49-5,49,5
296,49-8,49,8
297,49-12,49,12
298,49-18,49,18
299,49-22,49,22
300,49-30,49,30
301,49-32,49,32
302,49-36,49,36
303,49-42,49,42
304,49-43,49,43
305,49-44,49,44
306,49-45,49,45
307,49-46,49,46
308,49-47,49,47
309,49-48,49,48
310,49-49,49,49
311,50-0,50,0
312,50-2,50,2
313,50-3,50,3
314,50-4,50,4
315,50-5,50,5
316,50-6,50,6
317,50-8,50,8
318,50-9,50,9
319,50-11,50,11
320,50-12,50,12
321,50-13,50,13
322,50-15,50,15
323,50-16,50,16
324,50-18,50,18
325,50-20,50,20
326,50-22,50,22
327,50-23,50,23
328,50-25,50,25
329,50-26,50,26
330,50-27,50,27
331,50-29,50,29
332,50-30,50,30
333,50-31,50,31
334,50-32,50,32
335,50-33,50,33
336,50-35,50,35
337,50-36,50,36
338,50-37,50,37
339,50-38,50,38
340,50-39,50,39
341,50-40,50,40
342,50-41,50,41
343,50-42,50,42
344,50-44,50,44
345,50-45,50,45
346,50-46,50,46
347,50-47,50,47
348,50-48,50,48
349,50-49,50,49
350,50-50,50,50
351,51-2,51,2
352,51-4,51,4
353,51-5,51,5
354,51-6,51,6
355,51-8,51,8
356,51-9,51,9
357,51-11,51,11
358,51-12,51,12
359,51-15,51,15
360,51-18,51,18
361,51-19,51,19
362,51-22,51,22
363,51-25,51,25
364,51-26,51,26
365,51-30,51,30
366,51-31,51,31
367,51-32,51,32
368,51-33,51,33
369,51-36,51,36
370,51-37,51,37
371,51-39,51,39
372,51-40,51,40
373,51-41,51,41
374,51-43,51,43
375,51-44,51,44
